Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 5-11,Population - Age 12-17,Population - Age 5+,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID
Citywide,2018,Chicago,"2,705,988","548,999","552,935","456,321","336,457","312,965","262,991","155,334","79,986","204,152","175,475","2,537,874","2,156,989","349,712","1,386,113","1,319,875","776,661","179,841","784,266","899,980","119,467",Citywide-Chicago-2018
ZIP Code,2018,60601,"14,675",820,"4,606","2,792","2,190","1,333","1,340","1,272",322,,,"14,125","13,855","2,075","7,484","7,191","1,274",,,"9,677",,ZIP_Code-60601-2018
ZIP Code,2018,60602,"1,244",149,435,462,135,53,10,0,0,,,"1,183","1,095",5,551,693,81,,,788,,ZIP_Code-60602-2018
ZIP Code,2018,60603,"1,174",56,561,101,97,197,97,65,0,,,"1,161","1,118",112,601,573,115,,,707,,ZIP_Code-60603-2018
ZIP Code,2018,60604,782,38,303,104,51,101,130,50,5,,,770,744,93,413,369,34,,,479,,ZIP_Code-60604-2018
ZIP Code,2018,60605,"27,519","2,260","8,103","6,316","3,567","3,344","2,455","1,204",270,,,"26,682","25,259","2,569","14,381","13,138","1,608",,,"15,781",,ZIP_Code-60605-2018
ZIP Code,2018,60606,"3,101",101,750,861,465,321,514,89,0,,,"3,044","3,000",431,"1,599","1,502",195,,,"2,129",,ZIP_Code-60606-2018
ZIP Code,2018,60607,"29,591","3,350","11,384","7,522","3,048","1,981","1,321",632,353,,,"27,931","26,241","1,604","14,867","14,724","2,457",,,"15,440",,ZIP_Code-60607-2018
ZIP Code,2018,60608,"79,205","14,910","20,255","14,382","10,013","8,234","6,440","3,119","1,852",,,"75,019","64,295","7,852","35,360","43,845","40,146",,,"15,148",,ZIP_Code-60608-2018
ZIP Code,2018,60609,"61,495","16,600","12,450","8,451","7,324","7,061","5,176","3,378","1,055",,,"56,675","44,895","6,977","31,225","30,270","32,860",,,"9,172",,ZIP_Code-60609-2018
ZIP Code,2018,60610,"39,019","3,565","11,398","8,786","3,667","3,369","4,242","2,939","1,053",,,"37,174","35,454","6,029","21,145","17,874","2,601",,,"26,809",,ZIP_Code-60610-2018
ZIP Code,2018,60611,"32,426","1,638","7,544","7,215","2,478","3,937","4,785","3,267","1,562",,,"31,534","30,788","7,079","17,219","15,207","1,701",,,"23,167",,ZIP_Code-60611-2018
ZIP Code,2018,60612,"34,311","8,160","7,877","5,806","4,012","3,889","2,746","1,209",612,,,"31,926","26,151","3,136","17,631","16,680","4,206",,,"7,334",,ZIP_Code-60612-2018
